#{"t_start": 1764560262.0136106, "env_id": "custom-highway-v0"}
r,l,t
8.556568,11,0.805439
10.195765,13,1.756867
1.949848,3,1.944501
7.748935,9,2.60152
7.060231,9,3.272312
10.115201,13,4.161954
9.33429,12,5.051115
1.723632,3,5.257881
5.334984,7,5.759793
12.914739,16,6.822228
10.795497,14,7.754521
3.827057,5,8.045452
9.537529,11,8.730584
4.861217,6,9.120634
8.114342,10,9.752194
4.592332,6,10.112689
1.059147,2,10.240177
0.994444,2,10.388417
6.408803,9,11.001441
1.141499,2,11.165915
9.984175,12,11.950014
7.554983,10,12.662132
4.522556,6,13.099482
8.723869,11,13.820163
10.343448,13,14.636492
4.655772,6,15.093321
11.248045,14,16.012417
10.65076,13,17.026198
9.192041,12,17.804284
2.682043,4,18.063333
11.81652,15,19.048194
9.40326,11,19.800145
4.751257,6,20.144441
13.337085,16,21.302799
2.600381,4,21.551157
1.885345,3,21.733125
11.05653,14,22.670966
4.643752,6,23.110227
8.156872,10,23.799536
6.475392,8,24.29482
4.27595,6,24.72048
5.575676,7,25.213708
10.742694,13,26.027182
27.11448,31,28.03605
7.416129,9,28.620092
9.550185,12,29.468826
11.457441,14,30.323784
4.254314,6,30.803815
3.394395,5,31.143159
8.943141,11,31.928361
2.372611,4,32.181086
28.27559,40,35.255835
8.707794,11,35.99967
1.684973,3,36.194217
9.852011,13,37.133241
1.880915,3,37.38377
8.536709,10,38.121661
1.836791,3,38.314797
2.639173,4,38.563984
11.532144,15,39.804394
6.065985,8,40.321394
2.138607,3,40.547792
6.800511,8,41.073942
10.148386,13,41.991364
0.936278,2,42.123008
10.567677,13,43.004847
8.515195,10,43.844948
8.743432,11,44.603791
5.293333,7,45.086297
26.375481,32,47.353423
2.904991,4,47.652597
2.633534,4,47.952935
10.727895,13,48.868549
8.131241,9,49.57455
1.976347,3,49.83057
14.475779,18,51.180066
5.966993,8,51.848733
1.994227,3,52.078792
9.12982,11,52.765197
10.32161,13,53.677891
2.780062,4,54.039655
3.12746,4,54.36729
9.769866,12,55.163709
2.673345,4,55.476778
6.90782,9,56.16467
9.015403,11,56.998954
3.767124,5,57.331428
9.432327,11,58.096545
8.81135,11,58.868957
6.322865,8,59.413625
11.279408,14,60.465206
4.88594,7,60.907407
8.772341,11,61.645547
6.595285,9,62.271933
3.194812,4,62.548362
13.10544,16,63.59005
5.577115,7,64.180311
11.85956,15,65.178275
2.643006,4,65.450191
1.106013,2,65.590523
10.35615,13,66.505634
9.893922,12,67.34672
5.353691,7,67.848939
6.806055,8,68.450254
2.060003,3,68.642975
9.686448,12,69.438878
5.649808,7,69.982089
9.437849,11,70.79859
10.186242,13,71.710513
8.105091,10,72.525581
11.008751,14,73.529541
2.767081,4,73.849903
2.837068,4,74.151012
2.035026,3,74.40443
1.038315,2,74.582713
4.468255,6,75.113465
28.668757,40,78.252692
29.618652,40,81.015356
2.047068,3,81.195387
