#{"t_start": 1765431048.1975052, "env_id": "group5-env-v0"}
r,l,t
-0.657401,2,0.248231
3.093401,9,0.594853
3.32604,14,1.172733
0.289151,4,1.323064
4.910163,13,1.820021
-0.700136,2,1.892586
-0.104748,4,2.045841
0.270185,4,2.206524
6.359999,17,2.8505
-0.704394,2,2.937719
-0.813283,3,3.070453
0.423586,5,3.286483
-0.436911,4,3.421254
4.051713,15,3.931228
-0.356957,3,4.029496
1.418161,8,4.312229
10.355989,21,5.177961
-0.827117,3,5.290899
0.658404,5,5.468716
0.338906,4,5.601559
6.860503,15,6.110633
0.625022,5,6.276839
10.080934,18,6.993628
0.304537,4,7.12627
4.961891,17,7.737858
0.234367,6,7.95672
0.074592,4,8.103005
0.759021,7,8.375283
2.282722,7,8.64465
-1.004551,2,8.715443
-0.824897,3,8.819555
3.971593,14,9.286814
-0.885364,2,9.383446
0.302368,5,9.598424
0.394204,8,9.95481
0.128997,4,10.120764
1.129874,7,10.424448
0.493492,4,10.595232
-0.141474,4,10.764919
-0.173562,3,10.864503
0.284038,4,11.004799
2.222977,10,11.429864
2.893667,9,11.837662
2.767044,11,12.243296
4.080983,10,12.601073
0.182998,7,12.881126
0.541738,7,13.153922
1.183492,10,13.514532
3.176546,9,13.861773
1.998805,11,14.291487
2.070245,10,14.644871
0.271042,5,14.849082
-0.819277,3,14.981548
0.496232,6,15.204058
2.028712,7,15.490557
0.863519,9,15.841778
0.146346,5,16.015463
10.723072,17,16.723987
-1.166501,1,16.769538
-0.275966,5,16.947765
-0.191838,3,17.069967
0.293098,5,17.275166
-0.732844,2,17.362275
-0.111263,4,17.530152
1.388645,6,17.722426
-1.087248,1,17.760463
-0.340877,3,17.870335
11.004093,18,18.572901
-0.709738,2,18.652088
-0.038893,3,18.77389
4.040121,13,19.232537
-1.358218,1,19.278096
2.071059,9,19.608127
-0.848591,2,19.672691
0.325861,6,19.918871
2.842487,13,20.358254
9.397508,17,20.970613
2.218966,8,21.312724
9.700184,21,22.252722
-1.228817,1,22.295795
-0.465181,3,22.441477
-0.854311,2,22.537338
-0.367286,3,22.664683
0.350478,5,22.847158
1.681911,11,23.268368
-0.826764,3,23.359814
0.464081,4,23.502151
0.880139,5,23.730197
-0.378044,3,23.842313
0.25794,5,24.042213
0.575415,6,24.25649
0.801996,6,24.487277
2.827328,11,24.867878
-0.894323,2,24.942118
9.183155,22,25.803023
-0.448044,4,25.979475
-0.728313,2,26.074601
2.362105,8,26.397517
-0.180648,3,26.524028
1.64463,10,26.87174
1.283595,6,27.128778
-0.729055,2,27.218365
5.038506,17,27.863002
1.824623,6,28.042203
