#{"t_start": 1765424035.0336254, "env_id": "group5-env-v0"}
r,l,t
11.813298,18,1.718062
0.30973,4,1.842067
5.225838,11,2.166103
-0.287148,4,2.282676
-0.320512,3,2.371328
2.4695,10,2.709899
2.564672,8,2.917802
-0.03968,3,3.02501
3.052742,8,3.248322
0.516575,7,3.438299
-0.856035,2,3.493342
-1.203782,1,3.522876
0.072976,3,3.622364
1.839939,8,3.869549
1.428232,8,4.09807
-1.156448,1,4.134814
-0.704173,2,4.192809
11.418975,20,4.783996
0.441763,7,4.986219
-0.856236,2,5.045494
0.205921,4,5.158841
4.570752,13,5.569306
-0.014401,6,5.772666
-0.702451,2,5.837204
7.41045,18,6.327815
6.447027,16,6.829071
0.967245,5,6.977847
1.466059,7,7.152573
-1.196033,1,7.1786
-0.289422,4,7.28066
2.26583,8,7.472074
2.926026,9,7.7402
2.862274,12,8.101795
1.371737,9,8.364178
2.431396,13,8.774379
0.750338,8,8.99564
1.300231,8,9.23162
-0.823973,3,9.322249
4.732414,11,9.61762
4.273547,11,9.955174
0.955576,7,10.152982
0.98178,5,10.305828
1.456701,10,10.579793
-0.755642,2,10.640967
-0.849321,2,10.705379
-1.156837,2,10.769379
-0.757095,2,10.82693
0.881577,5,10.960442
-0.498338,4,11.065992
-0.280777,4,11.184649
0.332971,6,11.372197
10.462755,17,11.787423
0.311519,8,11.985696
-0.023685,3,12.07532
-0.697062,2,12.135094
0.635208,6,12.318469
9.897408,20,12.79673
2.770959,12,13.132784
7.920229,17,13.614151
0.343415,6,13.793869
0.33774,7,13.967472
3.590238,11,14.255299
-0.471167,3,14.339937
1.46321,5,14.514284
-0.708658,2,14.573285
3.884145,10,14.883207
-0.66473,2,14.933713
5.098776,15,15.334436
-0.336668,3,15.405296
6.4367,14,15.756275
0.197513,4,15.867702
0.858875,5,16.017087
-0.320994,3,16.101101
-0.882899,2,16.154318
-0.701703,2,16.219566
1.736233,10,16.494645
2.962819,9,16.744524
2.582208,8,16.977296
-0.8521,2,17.032882
-0.218076,5,17.150439
2.975481,9,17.432838
0.155591,4,17.559086
-0.727082,2,17.632204
1.042829,7,17.822974
6.105194,13,18.195571
-0.2478,4,18.323664
4.892319,17,18.743
-0.317326,3,18.846275
0.074481,3,18.918322
-0.684645,3,19.006861
-1.165155,2,19.059201
2.523881,8,19.277308
-0.444276,4,19.399493
1.347295,8,19.653269
1.902476,8,19.899079
-0.428985,4,20.021825
0.214039,4,20.126873
-0.368209,4,20.225465
-1.203639,1,20.250464
0.807254,7,20.456069
-1.008445,2,20.506075
-0.0851,3,20.585214
0.320503,6,20.755255
9.743772,18,21.233419
0.438396,5,21.363825
-0.188507,3,21.44271
0.750224,5,21.579247
10.14209,17,21.975639
1.332289,6,22.140894
-1.156441,1,22.170068
9.379367,21,22.700269
0.275857,6,22.861854
-1.053766,1,22.890854
-1.227232,1,22.923474
-0.639505,2,22.974
-0.480117,4,23.093569
0.061839,4,23.207846
1.610143,9,23.441067
0.423666,4,23.562961
2.631655,11,23.879236
7.446647,15,24.317277
-1.210898,1,24.35029
9.213028,22,24.903188
-0.001599,4,25.025121
6.58986,18,25.548014
7.945294,18,25.995901
1.998101,7,26.211035
-1.083817,1,26.240621
0.258294,4,26.334224
4.83195,14,26.662844
6.618549,21,27.321228
1.869918,11,27.653915
0.480002,5,27.789496
0.960786,8,28.004787
-1.36671,1,28.035368
-0.745873,2,28.082351
4.910442,17,28.577059
0.988799,5,28.703691
0.836893,5,28.837903
-0.200175,3,28.92557
3.066737,9,29.195439
2.188169,12,29.536865
-1.207321,1,29.561865
2.47164,10,29.82534
-0.128368,3,29.899322
6.23111,16,30.311955
-0.244584,3,30.399529
-0.974217,3,30.485875
4.070763,13,30.884962
-0.883789,2,30.948503
-0.442675,5,31.071055
10.59417,17,31.521743
1.795537,7,31.688394
0.083373,5,31.823632
2.129629,11,32.137769
-0.999856,2,32.190767
4.736175,11,32.52718
0.270267,5,32.646767
0.067019,4,32.747339
-0.289656,3,32.814382
-0.667827,2,32.862821
-0.730951,2,32.917847
8.425412,22,33.53516
-0.642834,2,33.606179
-1.010859,2,33.668699
1.487616,8,33.901412
1.827692,7,34.108449
-1.212318,1,34.140972
0.291939,6,34.309408
0.071357,4,34.416406
-0.333925,3,34.485911
9.846941,17,34.899187
9.556837,18,35.363563
3.080991,8,35.57876
-0.075457,4,35.704711
-0.70506,2,35.772663
1.312299,9,35.995627
0.256911,7,36.155645
1.659188,6,36.323155
-0.830838,3,36.402664
-1.20991,1,36.430172
-1.20969,1,36.454257
0.64666,4,36.586151
0.60663,8,36.845327
-1.163743,1,36.878328
1.783676,7,37.092478
1.454201,7,37.302282
2.998142,11,37.581637
-1.366241,1,37.609657
-0.30837,3,37.696251
2.146735,8,37.904409
0.838247,5,38.03353
2.467281,8,38.217831
0.667987,5,38.340878
0.217012,4,38.466022
-0.994686,2,38.526026
0.51385,6,38.68595
9.017133,17,39.132586
0.876572,8,39.366135
3.335448,14,39.689569
-0.234872,3,39.76822
3.169211,12,40.06048
1.626763,9,40.345883
-0.851062,2,40.40289
-0.160636,5,40.541807
2.556126,8,40.76585
-0.109559,4,40.888183
1.999996,7,41.056725
-1.353574,1,41.083006
0.676523,8,41.324987
1.375768,6,41.469025
0.151388,4,41.577149
